Date,Ozwide Flyer,Hsy Flyer
01/07/20,0,1
02/07/20,0,1
03/07/20,0,1
04/07/20,0,0
05/07/20,0,0
06/07/20,0,1
07/07/20,0,1
08/07/20,0,0
09/07/20,0,0
10/07/20,0,0
11/07/20,0,0
12/07/20,0,0
13/07/20,0,0
14/07/20,0,0
15/07/20,0,0
16/07/20,0,0
17/07/20,0,0
18/07/20,0,0
19/07/20,0,0
20/07/20,0,0
21/07/20,0,0
22/07/20,0,0
23/07/20,0,0
24/07/20,0,0
25/07/20,0,0
26/07/20,0,0
27/07/20,0,0
28/07/20,0,0
29/07/20,0,0
30/07/20,0,0
31/07/20,0,0
01/08/20,0,0
02/08/20,0,0
03/08/20,0,1
04/08/20,0,1
05/08/20,0,1
06/08/20,0,1
07/08/20,0,1
08/08/20,0,0
09/08/20,0,0
10/08/20,0,0
11/08/20,0,0
12/08/20,0,0
13/08/20,0,0
14/08/20,0,0
15/08/20,0,0
16/08/20,0,0
17/08/20,0,0
18/08/20,0,0
19/08/20,0,0
20/08/20,0,0
21/08/20,0,0
22/08/20,0,0
23/08/20,0,0
24/08/20,0,0
25/08/20,0,0
26/08/20,0,0
27/08/20,0,0
28/08/20,0,0
29/08/20,0,0
30/08/20,0,0
31/08/20,0,0
01/09/20,0,1
02/09/20,0,1
03/09/20,0,1
04/09/20,0,1
05/09/20,0,0
06/09/20,0,0
07/09/20,0,1
08/09/20,0,0
09/09/20,0,0
10/09/20,0,0
11/09/20,0,0
12/09/20,0,0
13/09/20,0,0
14/09/20,0,0
15/09/20,0,0
16/09/20,0,0
17/09/20,0,0
18/09/20,0,0
19/09/20,0,0
20/09/20,0,0
21/09/20,0,0
22/09/20,0,0
23/09/20,0,0
24/09/20,0,0
25/09/20,0,0
26/09/20,0,0
27/09/20,0,0
28/09/20,0,0
29/09/20,0,0
30/09/20,0,0
01/10/20,0,1
02/10/20,0,1
03/10/20,0,0
04/10/20,0,0
05/10/20,0,1
06/10/20,0,1
07/10/20,0,1
